Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,933,4930
KRAS_ENST00000557334,863,4930
KRAS,862,4930
TP53,849,2794
KRAS_ENST00000556131,815,4930
TP53_ENST00000622645,693,2794
TP53_ENST00000619485,693,2794
TP53_ENST00000420246,693,2794
TP53_ENST00000617185,693,2794
TP53_ENST00000455263,693,2794
TP53_ENST00000610538,693,2794
TP53_ENST00000610292,693,2794
TP53_ENST00000445888,693,2794
TP53_ENST00000620739,693,2794
TP53_ENST00000413465,690,2794
TP53_ENST00000615910,689,2794
TP53_ENST00000359597,689,2794
TP53_ENST00000610623,639,2794
TP53_ENST00000510385,639,2794
TP53_ENST00000619186,639,2794
TP53_ENST00000504290,639,2794
TP53_ENST00000504937,639,2794
TP53_ENST00000618944,639,2794
IDH1,329,3604
ARID1A,247,1885
IDH1_ENST00000345146,220,3604
IDH1_ENST00000446179,220,3604
ARID1A_ENST00000430799,216,1885
ARID1A_ENST00000457599,205,1885
SMAD4,196,1933
ARID1A_ENST00000374152,192,1885
TTN_ENST00000359218,182,809
TTN_ENST00000342992,182,809
PIK3CA,182,2590
TTN_ENST00000591111,182,809
TTN_ENST00000460472,182,809
TTN_ENST00000342175,182,809
TTN,182,809
TTN_ENST00000615779,182,809
PBRM1_ENST00000337303,181,1710
SMAD4_ENST00000398417,174,1933
SMAD4_ENST00000588745,170,1933
PBRM1,146,1710
BRAF,145,3110
CDKN2A_ENST00000304494,144,2093
PBRM1_ENST00000410007,142,1710
PBRM1_ENST00000409057,142,1710
PBRM1_ENST00000296302,142,1710
PBRM1_ENST00000409114,142,1710
PBRM1_ENST00000409767,142,1710
PBRM1_ENST00000356770,142,1710
LRP1B,139,1083
PCDHGA1,138,809
BAP1,137,1894
KMT2C_ENST00000355193,135,1751
KMT2C,135,1751
PCDHGA2,133,809
PCDHGA3,127,807
HMCN1,126,809
ARID1A_ENST00000615191,123,1885
BAP1_ENST00000296288,123,1894
PIK3CA_ENST00000643187,122,2590
SYNE1_ENST00000423061,121,809
RYR2,121,809
SYNE1_ENST00000341594,121,809
SYNE1,121,809
RYR2_ENST00000360064,120,809
PCDHGB1,116,809
BRAF_ENST00000644969,116,3110
BRAF_ENST00000496384,116,3110
CSMD3,115,834
CSMD3_ENST00000455883,115,834
CSMD1_ENST00000537824,114,832
CSMD3_ENST00000343508,114,834
NF1,114,1635
CSMD1,113,832
CSMD1_ENST00000602723,113,832
PCDHGA4,113,807
CSMD1_ENST00000520002,113,832
CSMD1_ENST00000602557,113,832
CSMD1_ENST00000400186,113,832
PCDHA1,112,807
PCDHA1_ENST00000394633,112,807
NF1_ENST00000356175,111,1635
BRAF_ENST00000288602,110,3110
PCDHGB2,109,809
APC,107,2089
ATM,107,1859
FMN2,105,834
PCDHA2,104,809
EGFR,103,2442
LAMA2_ENST00000617695,102,834
LAMA2_ENST00000618192,102,834
EYS,102,834
LAMA2,102,834
EYS_ENST00000503581,102,834
CTNNA2_ENST00000496558,100,809
CTNNA2_ENST00000466387,100,809
CTNNA2,100,809
CTNNA2_ENST00000629316,100,809
PCDHA3,100,809
CDKN2A_ENST00000530628,96,2093
OBSCN_ENST00000422127,96,809
CDKN2A_ENST00000494262,96,2093
CDKN2A_ENST00000579755,96,2093
CDKN2A_ENST00000498628,96,2093
MUC16,96,825
FAT3_ENST00000409404,96,809
OBSCN,96,809
PCDHA4,95,809
COL11A1_ENST00000358392,95,809
PCDHA4_ENST00000512229,95,809
FBXW7,95,1759
PTEN,95,1960
DPP6,95,809
COL11A1_ENST00000353414,95,809
PREX2,95,928
RBFOX1_ENST00000641259,95,809
DPP6_ENST00000404039,95,809
COL11A1,95,809
OBSCN_ENST00000636875,94,809
RBFOX1,94,809
DMD_ENST00000620040,94,809
RBFOX1_ENST00000547372,94,809
RBFOX1_ENST00000535565,94,809
OBSCN_ENST00000366707,94,809
RBFOX1_ENST00000553186,94,809
DMD,94,809
RBFOX1_ENST00000552089,94,809
DST,94,809
RBFOX1_ENST00000550418,94,809
DMD_ENST00000378677,94,809
DMD_ENST00000619831,94,809
COL11A1_ENST00000512756,94,809
DST_ENST00000370788,93,809
APC_ENST00000508376,93,2089
RBFOX1_ENST00000547338,93,809
PCDHA5_ENST00000529619,93,809
DST_ENST00000421834,93,809
FAT3,93,809
PCDHA5,93,809
ATM_ENST00000452508,92,1859
DST_ENST00000361203,92,809
CDKN2A,91,2093
PCDH15_ENST00000373965,91,809
PCDH15_ENST00000614895,91,809
RYR3_ENST00000415757,91,809
RYR3,91,809
CDKN2A_ENST00000579122,91,2093
PCDH15_ENST00000414778,91,809
RYR3_ENST00000622037,91,809
PCDHGA5,91,809
RYR3_ENST00000389232,91,809
RYR3_ENST00000634418,91,809
PCDH15_ENST00000644397,91,809
PCDH15_ENST00000613657,90,809
PCDH15_ENST00000395442,90,809
DPP6_ENST00000332007,90,809
PCDH15_ENST00000409834,90,809
PCDH15_ENST00000612394,90,809
PCDH15_ENST00000395445,90,809
PCDH15_ENST00000395446,90,809
PCDH15_ENST00000616114,90,809
PCDH15_ENST00000617271,90,809
PCDH15_ENST00000395438,90,809
PCDH15_ENST00000621708,90,809
EGFR_ENST00000454757,90,2442
PCDH15_ENST00000495484,90,809
DPP6_ENST00000427557,90,809
PCDH15_ENST00000395440,90,809
RBFOX1_ENST00000340209,89,809
PCDHA6,89,809
OBSCN_ENST00000284548,89,809
ZFHX3,89,1105
CACNA1C_ENST00000399655,89,809
RBFOX1_ENST00000355637,89,809
RBFOX1_ENST00000436368,89,809
RBFOX1_ENST00000620507,89,809
RBFOX1_ENST00000311745,89,809
PCDHA6_ENST00000527624,89,809
PCDH15_ENST00000320301,88,809
CACNA1C_ENST00000399595,88,809
