Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,26803,80177
KRAS_ENST00000557334,25974,80177
KRAS,25973,80177
KRAS_ENST00000556131,25269,80177
BRAF,11764,95203
TP53,8885,20111
APC,7558,15981
APC_ENST00000508376,6890,15981
BRAF_ENST00000496384,5801,95203
BRAF_ENST00000644969,5799,95203
BRAF_ENST00000288602,5798,95203
TP53_ENST00000413465,5699,20111
TP53_ENST00000619485,5698,20111
TP53_ENST00000622645,5698,20111
TP53_ENST00000610292,5698,20111
TP53_ENST00000617185,5698,20111
TP53_ENST00000420246,5698,20111
TP53_ENST00000620739,5698,20111
TP53_ENST00000445888,5698,20111
TP53_ENST00000610538,5698,20111
TP53_ENST00000455263,5698,20111
TP53_ENST00000359597,5696,20111
TP53_ENST00000615910,5695,20111
TP53_ENST00000510385,5454,20111
TP53_ENST00000504290,5454,20111
TP53_ENST00000610623,5454,20111
TP53_ENST00000504937,5454,20111
TP53_ENST00000618944,5454,20111
TP53_ENST00000619186,5454,20111
PIK3CA,3250,23076
PIK3CA_ENST00000643187,2807,23076
TTN_ENST00000591111,1683,3233
TTN_ENST00000460472,1683,3233
TTN,1683,3233
TTN_ENST00000342992,1683,3233
TTN_ENST00000342175,1682,3233
TTN_ENST00000359218,1682,3233
TTN_ENST00000615779,1682,3233
PCDHA1,1374,2803
PCDHA1_ENST00000394633,1374,2803
PCDHA2,1335,2813
PCDHA3,1289,2813
PCDHA4_ENST00000512229,1229,2813
PCDHA4,1228,2813
PCDHGA1,1196,2675
PCDHGA2,1173,2651
PCDHA5,1166,2836
PCDHA5_ENST00000529619,1166,2836
PCDHGA3,1131,2675
PCDHA6,1105,2813
PCDHA6_ENST00000527624,1105,2813
FBXW7,1103,10678
PCDHGB1,1096,2640
PCDHGA4,1056,2640
PCDHA7,1045,2813
PCDHGB2,1032,2640
SMAD4,1011,10511
SYNE1_ENST00000423061,1007,3430
SYNE1,1007,3430
SYNE1_ENST00000341594,1007,3430
PCDHGA5,999,2640
PCDHA8,966,2813
PCDHGB3,955,2640
MUC16,954,3241
SMAD4_ENST00000398417,937,10511
SMAD4_ENST00000588745,924,10511
PCDHGA6,904,2640
PCDHA9,883,2836
OBSCN,856,3234
OBSCN_ENST00000636875,856,3234
OBSCN_ENST00000366707,856,3234
OBSCN_ENST00000422127,856,3234
FBXW7_ENST00000281708,849,10678
FBXW7_ENST00000603841,848,10678
PCDHGA7,844,2640
TGFBR2_ENST00000295754,832,6557
FBXW7_ENST00000296555,818,10678
FBXW7_ENST00000263981,810,10678
FBXW7_ENST00000393956,810,10678
PCDHGB4,792,2640
PCDHA10,789,2812
PCDHA10_ENST00000506939,789,2812
OBSCN_ENST00000284548,764,3234
PCDHGA8,746,2640
PCDHA11,690,2836
PCDHGB5,688,2640
LRP1B,658,3453
CTNNB1,654,12551
PCDHGA9,649,2640
FAT4,642,2873
NRAS,633,16337
RNF43,631,5124
NEB_ENST00000427231,616,2675
