Gene name,Mutated samples,Samples tested
EGFR,27196,102956
KRAS_ENST00000311936,7055,44702
EGFR_ENST00000454757,6480,102956
EGFR_ENST00000638463,6465,102956
EGFR_ENST00000455089,6461,102956
KRAS_ENST00000557334,6357,44702
KRAS,6355,44702
KRAS_ENST00000556131,6225,44702
TP53,5557,13014
TP53_ENST00000622645,4524,13014
TP53_ENST00000610538,4524,13014
TP53_ENST00000620739,4524,13014
TP53_ENST00000445888,4524,13014
TP53_ENST00000420246,4524,13014
TP53_ENST00000610292,4524,13014
TP53_ENST00000619485,4524,13014
TP53_ENST00000617185,4524,13014
TP53_ENST00000455263,4524,13014
TP53_ENST00000359597,4521,13014
TP53_ENST00000413465,4521,13014
TP53_ENST00000615910,4521,13014
TP53_ENST00000610623,4166,13014
TP53_ENST00000619186,4166,13014
TP53_ENST00000504290,4166,13014
TP53_ENST00000510385,4166,13014
TP53_ENST00000618944,4166,13014
TP53_ENST00000504937,4166,13014
TTN_ENST00000342992,1434,2776
TTN_ENST00000460472,1434,2776
TTN,1434,2776
TTN_ENST00000591111,1434,2776
TTN_ENST00000359218,1433,2776
TTN_ENST00000342175,1433,2776
TTN_ENST00000615779,1433,2776
PCDHGA1,1030,2731
MUC16,1022,2771
CSMD3,1019,2822
CSMD3_ENST00000455883,1015,2822
CSMD3_ENST00000343508,1005,2822
PCDHA1_ENST00000394633,992,2744
PCDHA1,992,2744
PCDHGA2,989,2731
PCDHA2,934,2743
LRP1B,930,3041
PCDHGA3,927,2731
USH2A,898,2747
RYR2,886,2639
PCDHA3,885,2743
RYR2_ENST00000360064,882,2639
PCDHGB1,873,2655
PIK3CA,863,17319
PCDHGA4,848,2728
PCDHA4,837,2743
PCDHA4_ENST00000512229,835,2743
PCDHGB2,811,2653
PCDHA5,778,2743
PCDHA5_ENST00000529619,776,2743
PCDHGA5,763,2728
ZFHX4,728,2631
ZFHX4_ENST00000518282,724,2631
PCDHGB3,722,2650
PCDHA6,720,2738
PCDHA6_ENST00000527624,718,2738
BRAF,715,29943
MET,707,24872
STK11,700,8942
PCDHGA6,686,2648
KEAP1,668,5429
TTN_ENST00000360870,652,2776
KEAP1_ENST00000393623,652,5429
CDKN2A_ENST00000304494,651,8243
PCDHA7,642,2736
STK11_ENST00000586243,640,8942
RB1,639,6440
SYNE1_ENST00000423061,634,2653
SYNE1_ENST00000341594,634,2653
SYNE1,634,2653
PCDHGA7,633,2647
PCDHGB4,597,2647
PCDHA8,582,2733
SPTA1,578,2638
SPTA1_ENST00000368147,578,2638
MMP26,571,2651
FLG,567,2638
PCDHGA8,562,2646
XIRP2_ENST00000409728,559,2634
XIRP2,559,2634
XIRP2_ENST00000409043,559,2634
FAM135B,542,2802
NAV3,535,2651
COL11A1_ENST00000358392,532,2733
COL11A1_ENST00000353414,532,2733
COL11A1,532,2733
CSMD1_ENST00000400186,531,2634
CSMD1_ENST00000602723,531,2634
CSMD1_ENST00000520002,531,2634
CSMD1,531,2634
CSMD1_ENST00000602557,531,2634
XIRP2_ENST00000628543,528,2634
NAV3_ENST00000536525,528,2651
COL11A1_ENST00000512756,527,2733
XIRP2_ENST00000409273,519,2634
XIRP2_ENST00000409605,519,2634
PTPRD,519,4845
CSMD1_ENST00000537824,517,2634
RYR3_ENST00000415757,513,2631
RYR3_ENST00000622037,513,2631
RYR3_ENST00000389232,513,2631
RYR3,513,2631
RYR3_ENST00000634418,511,2631
MUC17,511,2639
TSPEAR,510,2637
TSPEAR_ENST00000613245,510,2637
TSPEAR_ENST00000614657,510,2637
KMT2C,507,4428
KMT2C_ENST00000355193,506,4428
RYR1_ENST00000355481,506,2732
PCDH15_ENST00000644397,505,2731
PCDH15_ENST00000495484,505,2731
PCDH15_ENST00000616114,505,2731
PCDH15_ENST00000373965,505,2731
PCDH15_ENST00000621708,505,2731
PCDH15_ENST00000414778,505,2731
PCDH15_ENST00000614895,505,2731
RYR1,504,2732
PTPRD_ENST00000356435,502,4845
PTPRD_ENST00000397617,502,4845
PTPRD_ENST00000397611,502,4845
PTPRD_ENST00000537002,502,4845
PTPRD_ENST00000355233,502,4845
PCDHA9,499,2732
PTPRD_ENST00000397606,496,4845
PTPRD_ENST00000486161,496,4845
PTPRD_ENST00000540109,496,4845
PCDHGB5,496,2646
KMT2D,493,4552
PIK3CA_ENST00000643187,490,17319
FAT3_ENST00000409404,485,2630
FAT3,480,2630
NF1,477,5443
PCDH15_ENST00000612394,476,2731
PCDH15_ENST00000395445,476,2731
PCDH15_ENST00000409834,476,2731
PCDH15_ENST00000395438,476,2731
PCDH15_ENST00000395440,476,2731
PCDH15_ENST00000613657,476,2731
PCDH15_ENST00000617271,476,2731
PCDH15_ENST00000395442,476,2731
PCDH15_ENST00000395446,476,2731
HBG2_ENST00000380252,470,2639
ADAMTS12_ENST00000352040,464,2733
ERBB2,464,22901
CTNNA2_ENST00000466387,464,2736
PKHD1,464,2789
DNAH5,464,2637
ADAMTS12,464,2733
PCLO,462,2633
PCDHGA9,461,2644
CTNNA2_ENST00000496558,460,2736
CDH10,459,2732
APOB,458,2634
CTNNA2,458,2736
CTNNA2_ENST00000629316,457,2736
PAPPA2,454,2635
ALK,453,7542
PKHD1L1,453,2630
DNAH9_ENST00000454412,452,2637
DNAH9,452,2637
SI,451,2633
HBE1_ENST00000380237,451,2636
HBE1,451,2636
COL22A1,450,2636
COL22A1_ENST00000435777,449,2636
CSMD2_ENST00000373388,447,2640
CSMD2_ENST00000619121,447,2640
NF1_ENST00000356175,447,5443
CSMD2,446,2640
BRAF_ENST00000496384,446,29943
BRAF_ENST00000644969,446,29943
BRAF_ENST00000288602,446,29943
PCDH15_ENST00000437009,441,2731
PCDH15_ENST00000395433,441,2731
PCDH15_ENST00000361849,441,2731
RELN,441,2632
PCDH15_ENST00000622048,441,2731
RELN_ENST00000343529,441,2632
PCDH15_ENST00000395432,441,2731
PCDH15_ENST00000617051,441,2731
PCDH15,441,2731
PCDH15_ENST00000395430,441,2731
RELN_ENST00000424685,441,2632
PCDH15_ENST00000320301,440,2731
TNR_ENST00000263525,439,2636
PCLO_ENST00000423517,439,2633
TNR,439,2636
FAT1,439,4730
ANK2_ENST00000506722,437,2633
FAT1_ENST00000614102,434,4730
DMD,432,2640
DMD_ENST00000620040,431,2640
DMD_ENST00000378677,430,2640
FAT4,429,2737
TRIM5_ENST00000380027,429,2638
ANK2,428,2633
ANK2_ENST00000394537,428,2633
ANK2_ENST00000264366,428,2633
DMD_ENST00000619831,428,2640
OBSCN,427,2650
OBSCN_ENST00000422127,427,2650
OBSCN_ENST00000636875,426,2650
OBSCN_ENST00000366707,426,2650
PCDHA10,422,2730
LRRC7_ENST00000310961,421,2736
PCDHA10_ENST00000506939,420,2730
CDKN2A_ENST00000498628,416,8243
PCDHGB6,416,2643
CDKN2A_ENST00000530628,416,8243
CDKN2A_ENST00000579755,416,8243
PKHD1_ENST00000340994,415,2789
HMCN1,415,2737
CDKN2A_ENST00000494262,415,8243
EPHA5_ENST00000432638,413,4747
EPHA5_ENST00000273854,413,4747
EPHA5_ENST00000613740,413,4747
EPHA5_ENST00000354839,413,4747
EPHA5,413,4747
LRP2,409,2638
ZNF536,408,2637
CDKN2A,406,8243
CDKN2A_ENST00000579122,406,8243
PRDM9,406,2636
CACNA1E_ENST00000621791,405,2632
CACNA1E_ENST00000367570,405,2632
CACNA1E_ENST00000367567,404,2632
CACNA1E_ENST00000621551,404,2632
CACNA1E_ENST00000358338,404,2632
LRRC7,404,2736
PCDH11X,403,2730
PCDH11X_ENST00000373097,403,2730
AC058822.1,402,2735
ERICH3,402,2636
LRRC7_ENST00000415775,401,2736
EPHA5_ENST00000511294,400,4747
CACNA1E_ENST00000360108,399,2632
CACNA1E_ENST00000357570,399,2632
CACNA1E,399,2632
NAV3_ENST00000644176,397,2651
ERBB4,396,6618
ADGRB3,395,2836
PLXNA4,393,2639
PCDH11X_ENST00000361655,392,2730
PCDH11X_ENST00000406881,392,2730
PCDH11X_ENST00000373088,392,2730
PCDH11X_ENST00000504220,392,2730
PLXNA4_ENST00000321063,392,2639
PTPRT_ENST00000356100,391,4447
PTPRT_ENST00000373184,391,4447
PTPRT_ENST00000373187,391,4447
ABCA13,391,2637
PTPRT_ENST00000373190,391,4447
PTPRT,391,4447
PTPRT_ENST00000373201,391,4447
ZIM2_ENST00000593711,390,2632
ADGRB3_ENST00000546190,390,2836
ZIM2_ENST00000599935,390,2632
ZIM2,390,2632
PTPRT_ENST00000373193,389,4447
OBSCN_ENST00000284548,389,2650
DST,389,2648
FMN2,388,2634
ZIM2_ENST00000601070,388,2632
SMARCA4,387,5179
DST_ENST00000370788,386,2648
DST_ENST00000421834,386,2648
HYDIN,384,2730
DST_ENST00000361203,384,2648
ERBB4_ENST00000436443,383,6618
CNTNAP2,381,2631
CUBN,380,2633
HCN1,379,2636
NRXN1,378,2633
NRXN1_ENST00000625672,378,2633
NRXN1_ENST00000406316,378,2633
EYS,377,2864
ATM,377,5910
HERC2,377,2735
CNTNAP5,377,2632
DNAH8,377,2638
EYS_ENST00000503581,377,2864
AF241726.2,376,2634
ERBB4_ENST00000402597,375,6618
NRXN1_ENST00000405472,374,2633
NRXN1_ENST00000401669,374,2633
LAMA2,372,2637
LAMA2_ENST00000617695,372,2637
LAMA2_ENST00000618192,372,2637
NRXN1_ENST00000630543,372,2633
ADGRG4_ENST00000370652,370,2740
ADGRG4_ENST00000394141,370,2740
DNAH7,370,2729
GRIN2A,370,4650
ADGRG4,370,2740
USH2A_ENST00000366942,369,2747
DNAH8_ENST00000359357,369,2638
DST_ENST00000244364,369,2648
PCDHGA10,369,2728
ADGRL3_ENST00000512091,368,2828
ADGRL3,368,2828
GRIN2A_ENST00000562109,367,4650
GRIN2A_ENST00000330684,367,4650
SMARCA4_ENST00000444061,365,5179
SMARCA4_ENST00000645460,365,5179
SMARCA4_ENST00000642726,365,5179
SMARCA4_ENST00000429416,365,5179
SMARCA4_ENST00000450717,365,5179
SMARCA4_ENST00000644737,365,5179
SMARCA4_ENST00000647230,365,5179
SMARCA4_ENST00000590574,365,5179
SMARCA4_ENST00000413806,365,5179
SMARCA4_ENST00000643549,365,5179
SMARCA4_ENST00000646510,365,5179
SMARCA4_ENST00000646693,365,5179
SMARCA4_ENST00000643296,365,5179
SMARCA4_ENST00000642628,365,5179
SMARCA4_ENST00000646484,365,5179
SMARCA4_ENST00000589677,363,5179
EPHA3,363,4954
SMARCA4_ENST00000541122,363,5179
NTRK3_ENST00000394480,362,6040
DNAH11,360,2640
BRINP3,359,2735
DNAH11_ENST00000328843,359,2640
DNAH11_ENST00000620169,359,2640
ADGRL3_ENST00000507164,358,2828
ADGRL3_ENST00000509896,358,2828
ADGRL3_ENST00000511324,358,2828
ADGRL3_ENST00000508693,358,2828
ADGRL3_ENST00000506700,358,2828
NEB_ENST00000409198,357,2632
NEB_ENST00000172853,357,2632
NEB_ENST00000397345,357,2632
NEB_ENST00000427231,357,2632
NEB,357,2632
ADGRL3_ENST00000507625,356,2828
ADGRL3_ENST00000514157,356,2828
ADGRL3_ENST00000504896,356,2828
NEB_ENST00000603639,356,2632
NEB_ENST00000604864,356,2632
ZNF804B,355,2736
ADGRL3_ENST00000514996,355,2828
RIMS2,355,2636
ADGRL3_ENST00000508946,355,2828
EPHA3_ENST00000494014,355,4954
ADGRL3_ENST00000506720,355,2828
ADGRL3_ENST00000506746,355,2828
MUC5B,354,2630
AHNAK2,352,2630
ATM_ENST00000452508,350,5910
NTRK3,350,6040
NTRK3_ENST00000557856,350,6040
NTRK3_ENST00000357724,350,6040
NTRK3_ENST00000355254,350,6040
NTRK3_ENST00000629765,350,6040
NTRK3_ENST00000626019,349,6040
ZNF804A,345,2636
TNN,344,2635
NPAP1,343,2635
CTNND2,343,2633
DNAH3,343,2634
ANKRD30A_ENST00000602533,343,2632
TNN_ENST00000622870,342,2635
SSPO,342,2631
TNN_ENST00000621086,342,2635
FBN2,342,2631
FBN2_ENST00000619499,341,2631
FBN2_ENST00000262464,341,2631
AHNAK2_ENST00000557457,339,2630
MYH1,338,2735
ASTN1,337,2633
ASTN1_ENST00000367657,337,2633
CDH12_ENST00000504376,337,2729
