Gene name,Mutated samples,Samples tested
KRAS_ENST00000311936,6616,10058
KRAS,6157,10058
KRAS_ENST00000557334,6157,10058
KRAS_ENST00000556131,6014,10058
TP53,1790,3686
TP53_ENST00000610292,1373,3686
TP53_ENST00000420246,1373,3686
TP53_ENST00000445888,1373,3686
TP53_ENST00000620739,1373,3686
TP53_ENST00000617185,1373,3686
TP53_ENST00000622645,1373,3686
TP53_ENST00000610538,1373,3686
TP53_ENST00000455263,1373,3686
TP53_ENST00000619485,1373,3686
TP53_ENST00000413465,1372,3686
TP53_ENST00000359597,1370,3686
TP53_ENST00000615910,1370,3686
TP53_ENST00000618944,1290,3686
TP53_ENST00000504290,1290,3686
TP53_ENST00000610623,1290,3686
TP53_ENST00000619186,1290,3686
TP53_ENST00000510385,1290,3686
TP53_ENST00000504937,1290,3686
SMAD4,595,3450
CDKN2A_ENST00000304494,488,3524
LRP1B,468,1884
CSMD3,451,1652
CSMD3_ENST00000455883,451,1652
CSMD3_ENST00000343508,449,1652
SMAD4_ENST00000398417,447,3450
CSMD1,446,1652
CSMD1_ENST00000400186,446,1652
CSMD1_ENST00000602723,446,1652
CSMD1_ENST00000602557,446,1652
CSMD1_ENST00000520002,446,1652
SMAD4_ENST00000588745,440,3450
PCDH15_ENST00000614895,434,1764
PCDH15_ENST00000495484,434,1764
PCDH15_ENST00000414778,434,1764
ERBB4,434,2582
PCDH15_ENST00000621708,434,1764
PCDH15_ENST00000616114,434,1764
PCDH15_ENST00000373965,434,1764
PCDH15_ENST00000644397,434,1764
PCDH15_ENST00000409834,431,1764
PCDH15_ENST00000613657,431,1764
PCDH15_ENST00000612394,431,1764
PCDH15_ENST00000395446,431,1764
PCDH15_ENST00000395438,431,1764
PCDH15_ENST00000395440,431,1764
PCDH15_ENST00000395445,431,1764
PCDH15_ENST00000395442,431,1764
PCDH15_ENST00000617271,431,1764
GALNT17,431,1644
PCDH15_ENST00000361849,429,1764
PCDH15_ENST00000395433,429,1764
PCDH15_ENST00000395432,429,1764
PCDH15_ENST00000617051,429,1764
PCDH15_ENST00000320301,429,1764
PCDH15_ENST00000622048,429,1764
PCDH15_ENST00000437009,429,1764
ERBB4_ENST00000436443,429,2582
PCDH15_ENST00000395430,429,1764
PCDH15,429,1764
NRXN1,427,1674
NRXN1_ENST00000406316,427,1674
EYS_ENST00000503581,427,1652
EYS,427,1652
NRXN3_ENST00000634499,426,1644
NRXN1_ENST00000401669,426,1674
NRXN1_ENST00000625672,426,1674
NRXN1_ENST00000630543,426,1674
NRXN1_ENST00000405472,426,1674
NRXN3,425,1644
CNTNAP2,425,1644
NRXN3_ENST00000554719,423,1644
RBFOX1_ENST00000641259,422,1644
CSMD1_ENST00000537824,419,1652
RBFOX1_ENST00000553186,418,1644
RBFOX1_ENST00000547372,418,1644
RBFOX1_ENST00000550418,418,1644
RBFOX1,418,1644
TMEM132D,414,1644
CTNNA2_ENST00000466387,413,1764
PTPRT_ENST00000373193,412,2244
PTPRT_ENST00000373187,412,2244
PTPRT_ENST00000373201,412,2244
RBFOX1_ENST00000535565,412,1644
PTPRT_ENST00000356100,412,2244
CTNNA2_ENST00000629316,412,1764
CTNNA2_ENST00000496558,412,1764
RBFOX1_ENST00000552089,412,1644
PTPRT,412,2244
PTPRT_ENST00000373190,412,2244
PTPRT_ENST00000373184,412,2244
CTNNA2,409,1764
RYR2,407,1674
DLG2,407,1674
ERBB4_ENST00000402597,406,2582
CNTNAP5,406,1644
RBFOX1_ENST00000547338,405,1644
SOX5_ENST00000646273,405,1644
PCDH15_ENST00000373955,403,1764
CNTN4_ENST00000418658,403,1758
DMD_ENST00000620040,402,1644
MAGI2_ENST00000522391,402,1630
MACROD2,402,1644
MAGI2,402,1630
DMD,402,1644
SGCZ,402,1644
MAGI2_ENST00000419488,402,1630
MAGI2_ENST00000637441,402,1630
ROBO2,401,1789
MACROD2_ENST00000642719,401,1644
TENM2_ENST00000518659,401,1652
CDH18,401,1644
DMD_ENST00000378677,400,1644
DMD_ENST00000619831,400,1644
CDH4,399,1644
CNTN5_ENST00000528682,399,1764
THSD7B,399,1644
DPP6_ENST00000404039,399,1734
CNTN5,399,1764
CDH12,398,1644
CNTN4,398,1758
CNTN5_ENST00000527185,398,1764
LRRC4C_ENST00000528697,398,1644
LRRC4C_ENST00000530763,398,1644
CDH12_ENST00000504376,398,1644
GRID2,397,1644
GRID2_ENST00000510992,397,1644
DPP10_ENST00000410059,396,1756
DPP10_ENST00000409163,396,1756
ZFHX3,395,2112
PCDH9,394,1644
LRRTM4_ENST00000409884,394,1644
LRRTM4,394,1644
LRRTM4_ENST00000409093,394,1644
PCDH9_ENST00000544246,394,1644
NTM_ENST00000374791,394,1644
PCDH9_ENST00000456367,393,1644
PTPRD,393,2097
MDGA2_ENST00000399232,392,1644
THSD7B_ENST00000272643,392,1644
CDH13_ENST00000567109,392,1622
DLG2_ENST00000524982,391,1674
DLG2_ENST00000398309,391,1674
MDGA2,391,1644
CDH13_ENST00000428848,391,1622
CDH13,391,1622
DLG2_ENST00000532653,391,1674
DLGAP2,389,1652
ROBO1,389,1734
CTNNA3,388,1644
AUTS2_ENST00000406775,388,1644
AUTS2_ENST00000644939,388,1644
AUTS2,388,1644
NRG1_ENST00000519301,388,1682
AGBL4,388,1644
GPC6,387,1644
GRM8,387,1660
FSTL5,387,1674
MARCH1,387,1652
MARCH1_ENST00000514618,387,1652
GRM8_ENST00000358373,387,1660
FSTL5_ENST00000379164,387,1674
FSTL5_ENST00000427802,386,1674
OPCML_ENST00000524381,385,1644
RIMS2,385,1644
KCNIP4_ENST00000447367,384,1644
KCNIP4,384,1644
DLGAP2_ENST00000421627,383,1652
GALNT17_ENST00000618959,383,1644
ASTN2,382,1644
ASTN2_ENST00000361477,382,1644
MTUS2,382,1644
ASTN2_ENST00000313400,382,1644
EPHA6,382,1764
DPP6,381,1734
AGBL4_ENST00000371838,381,1644
NCAM2,381,1644
PTPRD_ENST00000463477,380,2097
SNTG1_ENST00000517473,380,1644
SNTG1_ENST00000518864,380,1644
SNTG1_ENST00000522124,380,1644
SNTG1_ENST00000644093,380,1644
SNTG1_ENST00000646880,380,1644
SNTG1_ENST00000642164,380,1644
SNTG1_ENST00000642826,380,1644
SNTG1,380,1644
ASIC2_ENST00000359872,380,1644
ANKS1B,379,1622
ANKS1B_ENST00000547010,379,1622
TTN_ENST00000591111,378,1674
TTN,378,1674
TTN_ENST00000615779,378,1674
TTN_ENST00000342175,378,1674
TTN_ENST00000359218,378,1674
TTN_ENST00000342992,378,1674
TTN_ENST00000460472,378,1674
GPC5,377,1644
NELL1,377,1644
NELL1_ENST00000357134,377,1644
NELL1_ENST00000325319,377,1644
NELL1_ENST00000532434,376,1644
WWOX_ENST00000406884,376,1644
CCSER1,376,1644
WWOX_ENST00000539474,376,1644
WWOX,376,1644
WWOX_ENST00000402655,376,1644
THSD7B_ENST00000413152,375,1644
CDH8_ENST00000299345,375,1644
CDH8,375,1644
NRG1_ENST00000520407,375,1682
MYT1L,374,1644
MYT1L_ENST00000428368,374,1644
MYT1L_ENST00000644820,374,1644
AGBL1_ENST00000441037,373,1622
PCDH11X_ENST00000373097,372,1644
PCDH11X,372,1644
ADGRB3_ENST00000546190,372,1660
ADGRB3,372,1660
SGCD_ENST00000517913,371,1622
PCDH11X_ENST00000406881,371,1644
SDK1_ENST00000615806,371,1644
PCDH11X_ENST00000373088,371,1644
GABRG3,371,1622
SDK1,371,1644
SNTG1_ENST00000643999,371,1644
PCDH11X_ENST00000504220,371,1644
PCDH11X_ENST00000361655,371,1644
CADM2_ENST00000383699,371,1644
SNTG1_ENST00000643809,371,1644
SDK1_ENST00000389531,371,1644
AGBL4_ENST00000371836,371,1644
CDH8_ENST00000577730,371,1644
SNTG1_ENST00000647073,371,1644
AGBL1,368,1622
CADM2_ENST00000407528,368,1644
IL1RAPL1,367,1644
GALNTL6,367,1644
CTNND2,366,1756
KCNIP4_ENST00000382148,366,1644
CNTN5_ENST00000418526,365,1764
CALN1_ENST00000395276,365,1644
NRG3,364,1652
DCC,364,1657
NRG3_ENST00000404547,364,1652
NRG3_ENST00000556918,363,1652
NRG3_ENST00000404576,363,1652
NRG3_ENST00000372142,363,1652
CALN1_ENST00000431984,362,1644
NEGR1,362,2081
SUGCT,362,1622
SUGCT_ENST00000401647,362,1622
SUGCT_ENST00000335693,362,1622
NRXN3_ENST00000428277,361,1644
NRXN3_ENST00000281127,361,1644
FAT3_ENST00000409404,361,1644
NRXN3_ENST00000557594,361,1644
CALN1,361,1644
