"","hgnc_symbol","dataset"
"1","ACP6","grove2018.csv"
"2","ADAM33","grove2018.csv"
"3","ALS2CR11","grove2018.csv"
"4","ALS2CR12","grove2018.csv"
"5","ARHGAP32","grove2018.csv"
"6","ARL17B","grove2018.csv"
"7","ASAP1","grove2018.csv"
"8","ATRN","grove2018.csv"
"9","ATXN1","grove2018.csv"
"10","BCL9","grove2018.csv"
"11","C20orf27","grove2018.csv"
"12","C8orf74","grove2018.csv"
"13","CASP8","grove2018.csv"
"14","CCDC42B","grove2018.csv"
"15","COL4A1","grove2018.csv"
"16","CRHR1","grove2018.csv"
"17","DDX54","grove2018.csv"
"18","EGR2","grove2018.csv"
"19","EHBP1","grove2018.csv"
"20","FGF12","grove2018.csv"
"21","FMNL1","grove2018.csv"
"22","GALNT1","grove2018.csv"
"23","GALNT10","grove2018.csv"
"24","GFRA4","grove2018.csv"
"25","GJA5","grove2018.csv"
"26","HEXIM2","grove2018.csv"
"27","HSPA12B","grove2018.csv"
"28","IQCD","grove2018.csv"
"29","KANSL1","grove2018.csv"
"30","KCNJ5","grove2018.csv"
"31","KCNN2","grove2018.csv"
"32","KMT2E","grove2018.csv"
"33","LRRC37A","grove2018.csv"
"34","MAPT","grove2018.csv"
"35","MFAP3","grove2018.csv"
"36","NEDD4L","grove2018.csv"
"37","NFIA","grove2018.csv"
"38","NKX2-4","grove2018.csv"
"39","NTM","grove2018.csv"
"40","PCDH9","grove2018.csv"
"41","PLXNA4","grove2018.csv"
"42","REEP3","grove2018.csv"
"43","RITA1","grove2018.csv"
"44","RP1L1","grove2018.csv"
"45","RSU1","grove2018.csv"
"46","RUNX1","grove2018.csv"
"47","SERPINA1","grove2018.csv"
"48","SERPINA11","grove2018.csv"
"49","SIGLEC1","grove2018.csv"
"50","SNX7","grove2018.csv"
"51","SOX7","grove2018.csv"
"52","SPATA32","grove2018.csv"
"53","SPPL2C","grove2018.csv"
"54","SRPK2","grove2018.csv"
"55","STRADB","grove2018.csv"
"56","TBPL1","grove2018.csv"
"57","TCF21","grove2018.csv"
"58","TP53AIP1","grove2018.csv"
"59","TPCN1","grove2018.csv"
"60","TRAK2","grove2018.csv"
"61","XKR6","grove2018.csv"
"62","XRN2","grove2018.csv"
"63","ZNF345","grove2018.csv"
"64","ZNF420","grove2018.csv"
"65","ZNF568","grove2018.csv"
"66","ZNF790","grove2018.csv"
"67","ZNF829","grove2018.csv"
"68","AKT3-IT1","ripke_2014_ensembl_anneal_mapping_09DEC19.csv"
