Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
MyD88	AGK	AGK	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	NCBP1	NCBP1	21	21	21	1	9	0.04	0.04	0.04	0.04	0.04	-3.24	2.33	0.3	
MyD88	NELFB	NELFB	13	13	13	1	7	0	0	0	0	0	-7.08	1.86	0.41	
MyD88	CNTP1	CNTP1	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	NELFD	NELFD	3	3	3	1	6	0	0	0	0	0	-18.29	0.5	0.6	
MyD88	NELFE	NELFE	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	PRP6	PRP6	46	46	46	1	45	0	0	0	0	0	-92.83	1.02	0.6	
MyD88	PRP4	PRP4	10	10	10	1	9	0	0	0	0	0	-18.17	1.11	0.52	
MyD88	NIBL1	NIBL1	33	33	33	1	22	0	0	0	0	0	-31.01	1.5	0.56	
MyD88	NDUS8	NDUS8	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	NDUS7	NDUS7	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	KAD1	KAD1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	KAD2	KAD2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	NDUS3	NDUS3	10	10	10	1	12	0	0	0	0	0	-28.81	0.83	0.6	
MyD88	NDUS2	NDUS2	10	10	10	1	10	0	0	0	0	0	-21.69	1	0.6	
MyD88	KAD6	KAD6	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	UBP22	UBP22	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	UBP24	UBP24	28	28	28	1	16	0	0	0	0	0	-17.34	1.75	0.52	
MyD88	CRKL	CRKL	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	STK26	STK26	12	12	12	1	9	0	0	0	0	0	-15.32	1.33	0.5	
MyD88	STK25	STK25	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	KCNN4	KCNN4	13	13	13	1	13	0	0	0	0	0	-27.92	1	0.6	
MyD88	P5CS	P5CS	37	37	37	1	37	0	0	0	0	0	-77.69	1	0.6	
MyD88	GNAS2	GNAS2	16	16	16	1	10	0	0	0	0	0	-13.22	1.6	0.49	
MyD88	KDM2A	KDM2A	6	6	6	1	1	0.96	0.96	0.96	0.96	0.96	3.27	6	0	
MyD88	ABCD3	ABCD3	20	20	20	1	36	0	0	0	0	0	-102.57	0.56	0.6	
MyD88	SNUT2	SNUT2	16	16	16	1	16	0	0	0	0	0	-34.14	1	0.6	
MyD88	RER1	RER1	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	OSGEP	OSGEP	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	C2CD5	C2CD5	13	13	13	1	23	0	0	0	0	0	-65.33	0.57	0.6	
MyD88	NUP98	NUP98	12	12	12	1	9	0	0	0	0	0	-15.32	1.33	0.5	
MyD88	XPC	XPC	7	7	7	1	3	0.16	0.16	0.16	0.16	0.16	-1.65	2.33	0.23	
MyD88	MYPT1	MYPT1	6	6	6	1	3	0.05	0.05	0.05	0.05	0.05	-2.97	2	0.28	
MyD88	SP3	SP3	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	NUP93	NUP93	30	30	30	1	26	0	0	0	0	0	-49.12	1.15	0.58	
MyD88	XPF	XPF	8	8	8	1	9	0	0	0	0	0	-21.06	0.89	0.6	
MyD88	PTN2	PTN2	4	4	4	1	5	0	0	0	0	0	-12.76	0.8	0.6	
MyD88	PTN1	PTN1	8	8	8	1	9	0	0	0	0	0	-21.06	0.89	0.6	
MyD88	CCD82	CCD82	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	OPA1	OPA1	33	33	33	1	38	0	0	0	0	0	-87.26	0.87	0.6	
MyD88	PRUN1	PRUN1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	PTN9	PTN9	3	3	3	1	4	0	0	0	0	0	-10.69	0.75	0.6	
MyD88	UBP2L	UBP2L	11	11	11	1	10	0	0	0	0	0	-20.25	1.1	0.54	
MyD88	P4HA2	P4HA2	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	P4HA3	P4HA3	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	LANC1	LANC1	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	MAZ	MAZ	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	PRPK	PRPK	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	KTI12	KTI12	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	AAPK1	AAPK1	12	12	12	1	9	0	0	0	0	0	-15.32	1.33	0.5	
MyD88	CSN4	CSN4	8	8	8	1	2	0.93	0.93	0.93	0.93	0.93	2.66	4	0.02	
MyD88	IF2B3	IF2B3	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	5NTC	5NTC	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	IF2B1	IF2B1	7	7	7	1	2	0.82	0.82	0.82	0.82	0.82	1.51	3.5	0.02	
MyD88	ASSY	ASSY	23	23	23	1	19	0	0	0	0	0	-34.61	1.21	0.57	
MyD88	CSN1	CSN1	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	CSN2	CSN2	13	13	13	1	8	0	0	0	0	0	-10.48	1.62	0.46	
MyD88	CSN3	CSN3	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	ACLY	ACLY	18	18	18	1	12	0	0	0	0	0	-17.33	1.5	0.52	
MyD88	CTBP2	CTBP2	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	MTX3	MTX3	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	MTMR2	MTMR2	19	19	19	1	17	0	0	0	0	0	-33.32	1.12	0.57	
MyD88	NOP9	NOP9	11	11	11	1	11	0	0	0	0	0	-23.77	1	0.6	
MyD88	RL10A	RL10A	23	23	23	1	27	0	0	0	0	0	-62.96	0.85	0.6	
MyD88	PTBP3	PTBP3	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	NOP2	NOP2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	UBP3	UBP3	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	RIT1	RIT1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	EDC3	EDC3	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	M3K2	M3K2	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TOPK	TOPK	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	EDC4	EDC4	13	13	13	1	9	0	0	0	0	0	-13.92	1.44	0.49	
MyD88	M3K6	M3K6	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	ERF3B	ERF3B	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	FARP2	FARP2	3	3	3	1	4	0	0	0	0	0	-10.69	0.75	0.6	
MyD88	MTMR1	MTMR1	35	35	35	1	28	0	0	0	0	0	-49	1.25	0.58	
MyD88	UFSP2	UFSP2	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	H1X	H1X	6	6	6	1	7	0	0	0	0	0	-16.91	0.86	0.6	
MyD88	XPO5	XPO5	36	36	36	1	31	0	0	0	0	0	-58.05	1.16	0.59	
MyD88	XPO4	XPO4	7	7	7	1	10	0	0	0	0	0	-26.34	0.7	0.6	
MyD88	XPO7	XPO7	22	22	22	1	20	0	0	0	0	0	-39.54	1.1	0.58	
MyD88	XPO6	XPO6	13	13	13	1	10	0	0	0	0	0	-17.39	1.3	0.52	
MyD88	S23IP	S23IP	10	10	10	1	9	0	0	0	0	0	-18.17	1.11	0.52	
MyD88	KAD4	KAD4	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	CHSTE	CHSTE	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CE170	CE170	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	TTK	TTK	4	4	4	1	6	0	0	0	0	0	-16.45	0.67	0.6	
MyD88	Mar-01	Mar-01	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	C1TC	C1TC	62	62	62	1	62	0	0	0	0	0	-129.54	1	0.6	
MyD88	DJB12	DJB12	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	PRP8	PRP8	168	168	168	1	234	0	0	0	0	0	-591.57	0.72	0.6	
MyD88	DJB11	DJB11	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	RM24	RM24	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	RM27	RM27	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	PPR35	PPR35	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RM21	RM21	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	RM20	RM20	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	RM22	RM22	7	7	7	1	5	0	0	0	0	0	-8.46	1.4	0.44	
MyD88	GCP2	GCP2	22	22	22	1	27	0	0	0	0	0	-64.56	0.81	0.6	
MyD88	TPPC9	TPPC9	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CC106	CC106	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	NBEL1	NBEL1	5	5	5	1	3	0.01	0.01	0.01	0.01	0.01	-4.32	1.67	0.34	
MyD88	GCP4	GCP4	20	20	20	1	28	0	0	0	0	0	-71.66	0.71	0.6	
MyD88	GCP5	GCP5	6	6	6	1	8	0	0	0	0	0	-20.56	0.75	0.6	
MyD88	H11	H11	4	4	4	1	4	0	0	0	0	0	-9.25	1	0.6	
MyD88	MPV17	MPV17	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	H13	H13	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	H14	H14	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	TPPC5	TPPC5	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	TLCD1	TLCD1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
