HC,EHC
KRAS,RAF1
BCL2,LZTR1
RALGDS,BRAF
ARAF,KRAS
LZTR1,CALM1
RAF1,MTOR
RASSF2,ARAF
TRAF6,RALGDS
SPSB1,BSG
ZDHHC17,EGFR
PIP5K1A,MARK2
EGLN1,SLC1A5
MAPK1,DAG1
HRAS,SNAP23
DDX50,ADD3
PIK3CG,
DDX47,
EGFR,
HNRNPC,
FAM129B,
SOX4,
ADH6,
SHANK3,
RAP1GDS1,
CALM1,
RASSF5,
PDE4DIP,
EPB42,
PPP2CB,
STX17,
IGFBP3,
MTOR,
PSMA3,
BTRC,
MDFI,
BRAF,
HEMGN,
RGL2,
CUL3,
DNAJA3,
BCAS3,
COX3,
DIRAS3,
NDUFA13,
RHOA,
FANCC,
CCL5,
PHB,
CYTB,
IL24,
ZNF189,
ARL6IP5,
LYPD4,
SERPINB5,
TNFSF13,
APP,
AGER,
OSGIN1,
LPAR1,
EEF1A1,
UQCRC1,
RASGRF2,
SHOC2,
RICTOR,
THRSP,
 FRAT2,
RBPMS,
MOCS2,
MAPKAP1,
PIK3R2,
PIK3CA,
WDR76,
IGSF21,
CDK8,
CCT7,
QDPR,
