Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	KRAS interactome	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24
	0.543945692401087	-0.197031021118164	A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4;H7C4Y7	A0A087WTM1	Roundabout homolog 1	ROBO1	38	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	34	34	32	26	26	24.4	175.85	0	271.91	11276000000	357	25.9187526702881	26.0678424835205	25.8804035186768	25.9545803070068	25.8562870025635	25.4650382995605
	0.18606568168827	-0.129203796386719	A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263	A0A087WTP3	Far upstream element-binding protein 2	KHSRP	39	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	22	43.2	43.2	39.9	73.027	0	323.31	40963000000	614	27.79736328125	27.6009502410889	27.2950897216797	27.8734970092773	27.2688331604004	27.1634616851807
	1.34795538173315	-1.87299156188965	F8W7C6;A0A087WV22;H7C123;H7C2C5;Q96L21;H7C2U2	F8W7C6		RPL10	70	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	2	2	65.6	7.4	7.4	18.565	0.0017713	2.2205	2720200000	38	24.3704605102539	23.4195690155029	23.6516284942627	23.0407276153564	21.7274551391602	21.054500579834
	0.505839460890596	0.42040189107259	A0A0A0MQX1;Q9HD67;D6RGD1;E9PEW5;Q9HD67-3;E9PCN3	A0A0A0MQX1	Unconventional myosin-X	MYO10	170	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 10	12	12	12	8.8	8.8	8.8	238.51	0	104.67	2069500000	90	22.9714088439941	22.3806800842285	21.9058418273926	22.5047740936279	23.1733474731445	22.8410148620605
	0.469781365175598	-0.435238520304363	A0A0G2JLR5;A0A0G2JMW4;Q02833-3;Q02833-2;Q02833;H0YEI0;E9PM39;F8W7Q0;A0A0J9YYE4	A0A0G2JLR5	Ras association domain-containing protein 7	RASSF7	316	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 8	7	7	7	26.4	26.4	26.4	36.317	0	18.198	2645900000	107	23.3278656005859	23.5843982696533	23.7921333312988	23.7747478485107	23.1581535339355	22.4657802581787
	0.501478174378733	-0.126318613688152	A0A0G2JPP5;Q14160-3;A0A0G2JNZ2;Q14160;A0A0G2JMS7;Q14160-2;H0YCG0	A0A0G2JPP5	Protein scribble homolog	SCRIB	319	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	81	81	72	59.5	59.5	53.1	177.72	0	323.31	109000000000	1545	29.0422077178955	28.9632835388184	28.7585620880127	28.6681060791016	28.9117946624756	28.805196762085
	0.23639593567076	-0.109491348266602	A8MQ02;H0Y8L4;H0Y948;H0Y8U8;H0Y9I0;H0YA98;REV__H3BRR8;REV__O60476;REV__Q8IY82-2;REV__Q8IY82;Q9ULE0-2;Q9ULE0	A8MQ02		MLLT4	438	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	110	1	0	59.4	0.7	0	201.8	0	52.127	5065300000	73	24.5072441101074	24.8405742645264	24.714973449707	24.8121070861816	24.6347808837891	24.2874298095703
	0.275613437231142	-0.198672612508137	C9J0J7;G5E9Q6;P35080-2;C9JQ45	C9J0J7	Profilin;Profilin-2	PFN2	566	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	3	48.4	48.4	30.8	9.8402	0	55.564	2814700000	64	23.9112281799316	24.0239448547363	23.4822235107422	24.0592842102051	23.5084533691406	23.25364112854
	0.352641089961119	0.196180979410808	C9K0J5;Q70E73;Q70E73-9;Q70E73-6;C9J164;Q70E73-5;Q70E73-2;Q70E73-8;Q70E73-7;Q70E73-4;Q70E73-3;Q7Z5R6	C9K0J5	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1	629	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	15	15	15	16.7	16.7	16.7	141.18	0	126.82	4537200000	159	23.5689468383789	23.8124504089355	24.0211505889893	24.2341804504395	24.1372737884521	23.6196365356445
	0.0475233875129117	0.0442733764648438	D3DQV9;P78344;H0Y3P2;P78344-2;H0YCH5;H0YEC5;H0YD77;H0YD99;H0YEN8;H0YDC0;H0YCF8;H0YEI7	D3DQV9	Eukaryotic translation initiation factor 4 gamma 2	EIF4G2	699	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	16	16	12	22.9	22.9	17.5	102.33	0	122.56	2578300000	82	22.9451560974121	22.6710071563721	23.5667419433594	23.4507331848145	23.0049781799316	22.860013961792
	0.0904257991895512	0.040831247965496	E9PCH4;Q8TEU7;Q8TEU7-4;Q8TEU7-5;Q8TEU7-3;D6RE77;B7Z7Y1;Q8TEU7-2;Q8TEU7-6	E9PCH4	Rap guanine nucleotide exchange factor 6	RAPGEF6	806	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	15	15	14	13.7	13.7	13.7	185.19	0	88.061	2697800000	129	23.6573104858398	23.3132667541504	23.804988861084	23.4996013641357	23.6748676300049	23.7235908508301
	0.354717509923673	-0.228852589925129	Q05682-5;E9PGZ1	Q05682-5		CALD1	830	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	0	49.4	49.4	0	61.212	0	323.31	14633000000	312	26.0475788116455	26.0622520446777	26.2108364105225	26.3724384307861	25.7876586914063	25.4740123748779
	0.193500784298368	-0.163495381673179	E9PHY5;O43491-4;E9PK52;O43491-3;E9PII3;O43491-2;E9PRG1;E9PIG0;E9PQD2;E9PJP4;E9PQN0	E9PHY5	Band 4.1-like protein 2	EPB41L2	839	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	63	2	0	67.3	1.4	0	104.36	0	104.61	9218100000	89	25.5203437805176	25.2415809631348	25.454252243042	25.8396377563477	24.7819175720215	25.1041355133057
	1.22677363458217	-0.374870936075848	E9PKC0;Q6IQ23;E9PL74	E9PKC0	Pleckstrin homology domain-containing family A member 7	PLEKHA7	853	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	28	28	0	29.8	29.8	0	144.42	0	148.5	9753400000	347	25.7106189727783	25.7737426757813	25.7861137390137	25.4123821258545	25.6106262207031	25.1228542327881
	0.174771374993755	0.0972824096679688	F1T0I1	F1T0I1		SEC16A	891	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	56	56	0	36.8	36.8	0	249.48	0	323.31	37245000000	890	27.3505172729492	26.813232421875	26.8144569396973	27.1102828979492	26.8869285583496	27.2728424072266
	0.767403131867361	-1.30523427327474	H0YAH0;A0A087X2C4;A0A087X0C9	H0YAH0		PCDH7	1071	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	12	4	4	17.6	7.9	7.9	102.42	0	63.235	1050700000	26	22.8311500549316	22.8423404693604	22.9961414337158	22.5685062408447	20.0416584014893	22.1437644958496
	2.38538011557128	0.821522394816082	H7C155;P04049;P04049-2;H7C4S5	H7C155	RAF proto-oncogene serine/threonine-protein kinase	RAF1	1167	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 1	14	14	10	37.2	37.2	29	59.741	0	133.15	6291900000	152	23.9330997467041	23.5622062683105	23.6979522705078	24.5828495025635	24.3885726928711	24.6864032745361
	0.110789647775946	-0.101363499959309	H7C3M7	H7C3M7		FARP2	1178	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	6	2	2	17.6	5	5	51.593	0	22.68	2240700000	42	23.7003879547119	23.5039730072021	23.5367069244385	24.0160579681396	23.5293388366699	22.891580581665
	0.286381143051682	-0.206766128540039	J3KN01;P55196;P55196-5;Q5TIG5;P55196-6	J3KN01	Afadin	MLLT4	1207	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	114	114	0	60	60	0	207.62	0	323.31	237000000000	2561	30.3043251037598	30.3573093414307	29.9250736236572	30.1789035797119	30.3085613250732	29.4789447784424
	0.700639777522242	0.516981760660808	J3QRG6;P42771;P42771-4;K7ES20;K7ENC6;P42771-2;P42772;G3XAG3;P42771-3	J3QRG6	Cyclin-dependent kinase inhibitor 2A	CDKN2A	1252	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	6	6	6	57.2	57.2	57.2	14.968	0	46.336	4084100000	112	23.1899375915527	23.9938621520996	24.1082897186279	23.9967098236084	24.2541465759277	24.5921783447266
	0.608819490100769	0.422820409138996	O00443;A0A0C4DGF9;O00443-2	O00443	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A	1352	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 2	12	12	12	9	9	9	190.68	0	15.177	2589000000	38	23.0713481903076	24.0745544433594	23.8705139160156	24.1543731689453	23.9801540374756	24.1503505706787
	1.42881706150332	-0.464874903361	O14936-3;O14936-4;Q5JS72;O14936-5	O14936-3	Peripheral plasma membrane protein CASK	CASK	1397	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	52	52	1	54.6	54.6	1.8	102.11	0	323.31	48898000000	879	28.0754623413086	27.99534034729	27.7826309204102	27.7309799194336	27.3334712982178	27.3943576812744
	0.0757378151630597	0.0283597310384103	O43491;Q6R5J7;E9PN54	O43491	Band 4.1-like protein 2	EPB41L2	1466	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	69	69	0	69.3	69.3	0	112.59	0	323.31	190000000000	1760	29.8141498565674	29.583589553833	29.4837951660156	29.8250675201416	29.6122798919678	29.5292663574219
	0.983314488461492	-0.609519322713215	O43707;O43707-2;F5GXS2;O43707-3;K7EJH8;Q08043;A0A087WSZ2;F6THM6;K7EP19	O43707	Alpha-actinin-4	ACTN4	1474	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	102	102	41	82.8	82.8	35.6	104.85	0	323.31	489000000000	3117	31.2691898345947	31.4510078430176	32.0827445983887	30.9794425964355	31.2636051177979	30.7313365936279
	0.387688358839365	-0.288416544596352	O60245;O60245-2	O60245	Protocadherin-7	PCDH7	1495	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	22	22	14	21.4	21.4	12.9	116.07	0	323.31	17296000000	400	26.4445533752441	26.3417224884033	26.7371196746826	26.5248775482178	26.4940090179443	25.6392593383789
	0.489818330616247	-0.300621668497723	O94887;O94887-3;O94887-2;C9JWM9;C9JVQ5;H7C3E4	O94887	FERM, RhoGEF and pleckstrin domain-containing protein 2	FARP2	1625	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	17	17	13	21.9	21.9	16.1	119.89	0	182.37	7551500000	185	25.3597450256348	25.489990234375	25.3053913116455	25.2454681396484	25.4351406097412	24.5726528167725
	0.170373517324186	-0.247423807779949	O95197-7;O95197-2;O95197;O95197-4	O95197-7	Reticulon-3	RTN3	1642	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	3	3	1	3.4	3.4	2	100.82	0	16.9	2081100000	67	23.992826461792	22.9845237731934	22.3866920471191	23.0363082885742	22.3183250427246	23.2671375274658
	0.000196216594388256	-0.000206629435222538	P01889;F6U0H7;Q31610;P30486	P01889	HLA class I histocompatibility antigen, B-7 alpha chain;HLA class I histocompatibility antigen, B-81 alpha chain;HLA class I histocompatibility antigen, B-48 alpha chain	HLA-B	1721	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	18	15	3	57.7	44.8	9.4	40.46	0	125.98	12351000000	217	26.3429946899414	25.846851348877	25.3576316833496	26.1569213867188	25.4968605041504	25.8930759429932
	0.0450657441363218	-0.0625279744466134	Q5JP53;P07437;A6NNZ2;Q9H4B7	Q5JP53	Tubulin beta chain	TUBB	1786	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	35	8	4	68.3	21.4	10.1	47.766	0	323.31	194000000000	513	28.9663391113281	29.803258895874	29.8430805206299	28.7188510894775	29.8690013885498	29.8372421264648
	1.72484680831113	2.29006894429525	Q96II5;P10398;P10398-2	Q96II5	Serine/threonine-protein kinase A-Raf	ARAF	1833	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 1	12	9	8	22.2	16.9	15.4	67.925	0	68.758	3223700000	96	21.1872463226318	22.1279544830322	20.1617259979248	23.6000289916992	23.0633220672607	23.6837825775146
	0.806902299094306	-0.269577026367188	P17301	P17301	Integrin alpha-2	ITGA2	1925	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	23	23	3	24.8	24.8	4.5	129.29	0	144.47	12256000000	255	26.1324768066406	25.85569190979	25.7898235321045	25.8260955810547	25.7018699645996	25.4412956237793
	0.780372319013176	-1.28212801615397	P24666;G5E9R5;P24666-4;F2Z2Q9;P24666-3	P24666	Low molecular weight phosphotyrosine protein phosphatase	ACP1	2005	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	6	6	3	41.1	41.1	19.6	18.042	0	10.893	2902600000	40	23.7111434936523	23.80784034729	24.1407871246338	21.1166934967041	23.452241897583	23.2444515228271
	0.0812235747035617	-0.0681953430175781	P27635;X1WI28;B8A6G2;A6QRI9	P27635	60S ribosomal protein L10	RPL10	2038	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	19	2	61.2	61.2	13.6	24.604	0	125.54	36774000000	428	27.1699733734131	27.3399410247803	26.7666091918945	26.8144569396973	26.7489356994629	27.508544921875
	0.514760939163636	0.670182545979817	P30101	P30101	Protein disulfide-isomerase A3	PDIA3	2068	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	20	20	14	44	44	32.5	56.782	0	277.86	8084700000	183	22.4047317504883	23.8510036468506	24.1952781677246	24.1122741699219	23.9021453857422	24.4471416473389
