Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	KRAS interactome	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 40	LFQ intensity 41	LFQ intensity 42
	1.47386638901763	-0.290549596150719	A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4;H7C4Y7	A0A087WTM1	Roundabout homolog 1	ROBO1	38	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	34	34	32	26	26	24.4	175.85	0	271.91	11276000000	357	25.9187526702881	26.0678424835205	25.8804035186768	25.776481628418	25.6866436004639	25.5322246551514
	0.0186188703671998	0.00874646504720289	A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263	A0A087WTP3	Far upstream element-binding protein 2	KHSRP	39	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	22	43.2	43.2	39.9	73.027	0	323.31	40963000000	614	27.79736328125	27.6009502410889	27.2950897216797	27.6063957214355	27.6478042602539	27.4654426574707
	0.167443158905268	0.387615839640301	F8W6X9;A0A087WTQ6;Q7Z5N4-3;Q7Z5N4;H7C255	F8W6X9	Protein sidekick-1	SDK1	40	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	12	12	12	8.5	8.5	8.5	240	0	34.105	990730000	59	22.759449005127	22.9489917755127	20.314905166626	22.8007678985596	22.1156902313232	22.2697353363037
	0.365002615678743	0.778674443562824	A0A087WU64;A6NMQ1;P09884	A0A087WU64	DNA polymerase;DNA polymerase alpha catalytic subunit	POLA1	52	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	8	8	8	7.9	7.9	7.9	165.77	0	12.458	991800000	41	21.9582614898682	22.70680809021	19.7926864624023	22.3483276367188	21.928825378418	22.5166263580322
	1.69069263210584	-2.46233812967936	F8W7C6;A0A087WV22;H7C123;H7C2C5;Q96L21;H7C2U2	F8W7C6		RPL10	70	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	2	2	65.6	7.4	7.4	18.565	0.0017713	2.2205	2720200000	38	24.3704605102539	23.4195690155029	23.6516284942627	21.3288726806641	20.3310527801514	22.394718170166
	0.579964946227788	0.556248982747395	Q6ZSR9;A0A096LP25;A0A096LNZ0	Q6ZSR9	Uncharacterized protein FLJ45252	AAK1	162	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	5	23.1	23.1	23.1	37.976	0	68.067	898180000	65	21.3960800170898	20.6175804138184	21.9118137359619	21.6601848602295	21.663272857666	22.2707633972168
	0.640700195381154	0.519535064697266	A0A0A0MQX1;Q9HD67;D6RGD1;E9PEW5;Q9HD67-3;E9PCN3	A0A0A0MQX1	Unconventional myosin-X	MYO10	170	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 10	12	12	12	8.8	8.8	8.8	238.51	0	104.67	2069500000	90	22.9714088439941	22.3806800842285	21.9058418273926	22.6298751831055	22.8807487487793	23.3059120178223
	0.047374601710503	-0.0384108225504569	A0A0G2JLR5;A0A0G2JMW4;Q02833-3;Q02833-2;Q02833;H0YEI0;E9PM39;F8W7Q0;A0A0J9YYE4	A0A0G2JLR5	Ras association domain-containing protein 7	RASSF7	316	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 8	7	7	7	26.4	26.4	26.4	36.317	0	18.198	2645900000	107	23.3278656005859	23.5843982696533	23.7921333312988	23.7393360137939	23.8046932220459	23.0451354980469
	0.920351423641291	-0.252868016560875	A0A0G2JPP5;Q14160-3;A0A0G2JNZ2;Q14160;A0A0G2JMS7;Q14160-2;H0YCG0	A0A0G2JPP5	Protein scribble homolog	SCRIB	319	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	81	81	72	59.5	59.5	53.1	177.72	0	323.31	109000000000	1545	29.0422077178955	28.9632835388184	28.7585620880127	28.4754905700684	28.7718105316162	28.7581481933594
	0.150054280036221	-0.0788923899332694	A8MQ02;H0Y8L4;H0Y948;H0Y8U8;H0Y9I0;H0YA98;REV__H3BRR8;REV__O60476;REV__Q8IY82-2;REV__Q8IY82;Q9ULE0-2;Q9ULE0	A8MQ02		MLLT4	438	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	110	1	0	59.4	0.7	0	201.8	0	52.127	5065300000	73	24.5072441101074	24.8405742645264	24.714973449707	24.5154495239258	24.9388084411621	24.3718566894531
	0.555841492632688	-0.214745839436848	C9J0J7;G5E9Q6;P35080-2;C9JQ45	C9J0J7	Profilin;Profilin-2	PFN2	566	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	3	48.4	48.4	30.8	9.8402	0	55.564	2814700000	64	23.9112281799316	24.0239448547363	23.4822235107422	23.6296768188477	23.6433944702148	23.5000877380371
	1.08398415493254	0.356625239054363	C9K0J5;Q70E73;Q70E73-9;Q70E73-6;C9J164;Q70E73-5;Q70E73-2;Q70E73-8;Q70E73-7;Q70E73-4;Q70E73-3;Q7Z5R6	C9K0J5	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1	629	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 9	15	15	15	16.7	16.7	16.7	141.18	0	126.82	4537200000	159	23.5689468383789	23.8124504089355	24.0211505889893	24.3178958892822	24.112512588501	24.0420150756836
